,GSM21203,GSM21204,GSM21205,GSM21206,GSM21207,GSM21208,GSM21209,GSM21210,GSM21211,GSM21212,GSM21213,GSM21214,GSM21215,GSM21216,GSM21217,GSM21218,GSM21219,GSM21220,GSM21221,GSM21222,GSM21223,GSM21224,GSM21225,GSM21226,GSM21227,GSM21228,GSM21229,GSM21230,GSM21231,GSM21232,GSM21233
EPHB3,6.61886789261597,6.69042396627579,7.23165042530818,7.56864168457997,7.17385047355737,7.07102799377382,6.99326590923732,7.17264163059802,5.83668987543433,7.38129171858617,7.55087296207355,7.41990575477682,6.18182373581298,7.04718319689075,6.11824630919065,6.98339240366526,7.36508273736884,6.6082865440752,7.66104258833231,6.62965095753976,7.53357262748278,5.59240048763391,6.95524641614436,7.59010183099912,6.53334397306437,6.34308719786133,6.87409694902966,6.63529367022376,7.03704396473789,6.3662098634037,6.92251368672999
ESRRA,8.43295958845945,7.85217730771007,8.49117395308703,8.10349285657766,8.37799795923791,7.27899476923158,7.60397158398687,7.6964367442471,7.76266099219211,8.17622382194123,8.52451430653489,8.28218610692669,7.23772929683649,7.20905148051773,7.02972335503556,6.95157375541415,7.24792751344359,7.55899338591633,7.45297457770536,7.91802937025066,8.21001710968747,7.57069376262932,7.80287604055717,7.99454466151044,8.2811219575503,6.89532595571467,7.23871154968531,8.62120467892304,7.82084765997155,7.71384711260601,7.7968408667702
CYP2A6,8.64251783147156,7.80160343735483,8.19334233192922,7.6437783853499,8.76861552016032,8.33843331901613,7.74539609280799,8.11104631115043,7.28738660526529,7.82093872042059,8.67530122994961,7.87434353628957,7.16679583916372,7.59646662977198,7.95168757358702,7.42591213600692,8.03526953580772,7.72630252880124,7.97058321815989,8.10068326780362,7.81854584830132,7.34819873954184,7.53886547265587,8.0872599051369,7.51135465781528,8.14430740853647,7.92169379748859,8.17435069784306,7.96830655821933,8.43882030172588,8.03281175252524
GAS6,10.2144365840242,10.9745478723544,10.0553032072295,9.08915346679875,10.2082537694121,10.7154461504034,10.0498551491467,9.62187324483786,9.88789498817462,9.86432196833164,10.8918158414318,9.97878684946383,10.7249615957205,9.60099666744829,10.9588283526364,9.61425491526492,10.1646235655088,9.44843734227198,9.45868939074234,8.97974302098117,9.41887983458013,9.1970870533217,9.32201556353751,9.84829728283479,9.78454916049109,9.4784024634119,9.30294796859301,9.74167518882207,9.40365426756702,9.43086188090432,10.1138133357787
MMP14,6.78141660743962,7.17424392195083,7.88621649477196,6.583624635319,6.87493657661486,6.51379658121933,7.70765605879141,6.37321535014654,6.07203672291227,6.7516879640788,7.05174372539116,6.34206313958652,5.84777451581913,6.62415504512948,6.48579991268537,5.57632241667354,6.62261650569095,6.51829624832796,6.44087889163469,6.92911387205902,6.63298355700807,6.62800845434541,6.12587219011704,7.15993137929817,6.17904478723686,6.50385940836177,5.73291541225137,7.1988388873222,6.13257355072266,6.63802538957419,6.59183095777003
TRADD,8.73888547466079,7.97010837857847,8.04339623760956,6.33437415504496,8.34941453062181,7.24182493670527,7.87169924887845,7.19734605115857,7.94939964052571,7.75537124474214,8.15186173374649,6.79926038559259,7.60678617377999,6.70282710304183,7.65536922823996,6.41752982672322,7.98667838626295,7.62456094367581,6.74816221744507,7.20334158333332,6.81633590232305,7.57996091257859,7.30872174791649,7.29281986708766,7.29131621076823,6.89794885516958,6.59374212957161,6.96167337279017,7.77619018996205,6.96613513629435,7.36313550428564
PLD1,6.30313729902553,4.67306259573996,5.95840466998391,5.33600723065995,6.70840934687304,4.43999147468947,4.7767894823603,4.8953052299272,6.07103373822241,6.27774581189916,6.60406706822261,5.17588739427008,4.70887255201918,4.3223866233761,4.44989212314519,5.34909737575514,5.88092941615859,6.16643131452004,6.26651594317428,5.64595134706794,4.53458415619594,5.74697945925447,6.12040176707816,6.4939916529921,6.06385106466023,5.78592621602655,5.79832658653101,6.78932818429687,5.9159762135534,6.30761453240557,5.96407685525482
CHURC1-FNTB,7.68710355113297,6.3636752046828,6.95850838510432,7.72373487450351,7.36625146705284,6.14219517958291,7.25750338955741,7.56829813541734,7.34794254949632,6.798670724309,7.41255790299873,6.62612130677443,6.78686619175188,7.57074026495191,5.47344582870566,7.55916883065269,8.03943732141396,7.73317973250385,7.79792885118019,8.06364141509404,7.98292144647882,7.82870668030334,8.08416956901579,7.34888940702074,8.31003364650119,8.4214923612858,7.9136658933576,8.36232407014567,8.34774737390119,8.09618368745397,8.07420571849434
DTX2P1-UPK3BP1-PMS2P11,8.70377064896945,9.07859672765155,9.48930082706779,9.09113199175226,8.86586246540066,9.28449351538667,9.40621208783012,9.00737291061483,8.62850604596554,9.39369575507168,9.44028277146655,9.31169428250301,9.4612696124385,9.16329110881676,8.68598163196267,9.15750948744636,9.29971098698072,9.1900401762612,9.32622188983813,9.384251548776,9.09746196954933,9.03835770320817,8.85901077055549,9.33488947457043,8.33390220692385,9.30910742448334,9.06573098378429,8.99955311947168,9.46987522536561,9.29182413335322,9.69140787420572
BAD,6.23367158586238,8.16655696757098,9.1561191349786,8.60005983367901,9.21741162954153,8.0460482074954,8.50892616595298,8.89751629815217,9.13906084006259,8.98850543453212,9.5267487271076,8.92678989585716,8.50543536574743,8.75411094307875,8.21530329059725,8.23319367402868,8.3329212352481,8.7087696980239,8.64218343056751,8.52008138444737,8.87614549902156,8.56684329648502,8.10305617694157,8.83619133025342,8.78382822403923,8.81552186493825,8.57297104688032,8.70066510402652,8.87179076196456,8.61973442284552,8.80549503064244
